ID,ecozone,gender,reproduction,embryo
Branchinecta_orientalis,T,D,A,F
Branchipus_schaefferi,T,D,A,F
Chirocephalus_carnuntanus,T,D,A,F
Chirocephalus_diaphanus,T,D,A,F
Chirocephalus_kerkyrensis,T,D,A,F
Chirocephalus_ruffoi,T,D,A,F
Eubranchipus_bundyi,T,D,A,F
Eubranchipus_grubii,T,D,A,F
Eubranchipus_holmanii,T,D,A,F
Eubranchipus_oregonus,T,D,A,F
Eubranchipus_serratus,T,D,A,F
Eubranchipus_vernalis,T,D,A,F
Streptocephalus_proboscideus,T,D,A,F
Streptocephalus_sealii,T,D,A,F
Streptocephalus_siamensis,T,D,A,F
Streptocephalus_sirindhornae,T,D,A,F
Streptocephalus_torvicornis,T,D,A,F
Streptocephalus_vitreus,T,D,A,F
Tanymastigites_perrieri,T,D,A,F
Tanymastix_stagnalis,T,D,A,F
Branchinella_kugenumaensis,T,D,A,F
Branchinella_thailandensis,T,D,A,F
Phallocryptus_spinosus,T,D,A,F
Thamnocephalus_platyurus,T,D,A,F
Ceriodaphnia_dubia,T,D,A,T
Ceriodaphnia_lacustris,T,D,A,T
Ceriodaphnia_pulchella,T,D,A,F
Ceriodaphnia_quadrangula,T,D,A,T
Ceriodaphnia_reticulata,T,D,A,F
Ceriodaphnia_silvestrii,T,D,A,F
Daphnia_carinata,T,D,A,F
Daphnia_cephalata,T,D,A,F
Daphnia_magna,T,D,A,F
Daphnia_projecta,T,D,A,F
Daphnia_similoides,T,D,A,F
Daphnia_similus,T,D,A,F
Daphnia_ambigua,T,D,A,T
Daphnia_cucullata,T,D,A,F
Daphnia_galatea,T,D,A,T
Daphnia_hyalina,T,D,A,F
Daphnia_longispina,T,D,A,F
Daphnia_lumholtzi,T,D,A,T
Daphnia_mendotae,T,D,A,T
Daphnia_middendorffiana,T,D,A,T
Daphnia_obtusa,T,D,A,F
Daphnia_parvula,T,D,A,F
Daphnia_pulex,T,D,A,F
Daphnia_schoedleri,T,D,A,F
Scapholeberis_armata,T,D,A,T
Scapholeberis_kingii,T,D,A,T
Scapholeberis_mucronata,T,D,A,T
Simocephalus_acutirostratus,T,D,A,F
Simocephalus_exspinosus,T,D,A,F
Simocephalus_serrulatus,T,D,A,F
Simocephalus_vetulus,T,D,A,F
Moina_macrocopa,T,D,A,F
Moina_micrura,T,D,A,F
Moina_weismanni,T,D,A,F
Macrothrix_flabelligera,T,D,A,T
Macrothrix_triserialis,T,D,A,F
Eurycercus_lamellatus,T,D,A,F
Eurycercus_vernalis,T,D,A,T
Acroperus_harpae,T,D,A,F
Alona_iheringula,T,D,A,F
